qa_id,question,reference_answer,gold_citation,parent_id,parent_mapping_status,review_priority,top_score,score_margin,candidate_child_ids,candidate_citations,candidate_scores,top_evidence_preview,review_decision,gold_child_ids,answer_support,review_notes
QA_0079,What is the nature of Regulation (EU) 2015/1018 in relation to Member States?,This Regulation shall be binding in its entirety and directly applicable in all Member States.,Article 2,EU_2015_1018_ART_2,auto_mapped,low,0.710686,0.404542,EU_2015_1018_ART_2__C0003;EU_2015_1018_ART_2__C0001;EU_2015_1018_ART_2__C0002;EU_2015_1018_ART_2__C0004;EU_2015_1018_ART_2__C0005,Article 2;Article 2;Article 2;Article 2;Article 2,0.710686;0.306144;0.271297;0.210649;0.15,This Regulation shall be binding in its entirety and directly applicable in all Member States.,,,,
QA_0080,What types of occurrences must be reported according to the Annex?,"Occurrences must be reported regardless of whether they take place within the linked categories of activities. This includes any incidents that could endanger the aircraft, its occupants, or any other person.","ANNEX I, Remark",EU_2015_1018_ANNEX_I,auto_mapped,high,0.467046,0.185286,EU_2015_1018_ANNEX_I__C0001;EU_2015_1018_ANNEX_I__C0030;EU_2015_1018_ANNEX_I__C0066;EU_2015_1018_ANNEX_I__C0031;EU_2015_1018_ANNEX_I__C0041,"Annex I;Annex I, item 1.4.8;Annex I, item 4.6;Annex I, item 1.4.9;Annex I, item 2.1.4",0.467046;0.28176;0.27661;0.259364;0.257814,"Remark: This Annex is structured in such a way that the pertinent occurrences are linked with categories of activities during which they are normally observed, according to experience, in order to facilitate the reporting of those occurrenc",,,,
QA_0081,What is included in the category of 'Take-off and landing' occurrences?,"The 'Take-off and landing' category includes occurrences such as taxiway or runway excursions, rejected take-offs, and inability to achieve required performance during take-off or landing. It also covers incidents like incorrect configuration settings during take-off or landing.","ANNEX I, 1.3",EU_2015_1018_ANNEX_I,auto_mapped,high,0.275674,0.040566,EU_2015_1018_ANNEX_I__C0014;EU_2015_1018_ANNEX_I__C0001;EU_2015_1018_ANNEX_I__C0015;EU_2015_1018_ANNEX_I__C0009;EU_2015_1018_ANNEX_I__C0016,"Annex I, item 1.3.5;Annex I;Annex I, item 1.3.6;Annex I, item 1.3;Annex I, item 1.3.7",0.275674;0.235108;0.202007;0.187383;0.181832,"(5)Inability to achieve required or expected performance during take-off, go-around or landing.",,,,
QA_0082,What constitutes a serious structural damage during maintenance of an aircraft?,"Serious structural damage includes cracks, permanent deformation, delamination, debonding, burning, excessive wear, or corrosion found during maintenance of the aircraft or component.","Regulation (EU) 2015/1018, Annex II, Section 3(1)",EU_2015_1018_ANNEX_II,auto_mapped,medium,0.634038,0.385276,EU_2015_1018_ANNEX_II__C0007;EU_2015_1018_ANNEX_II__C0023;EU_2015_1018_ANNEX_II__C0021;EU_2015_1018_ANNEX_II__C0015;EU_2015_1018_ANNEX_II__C0014,"Annex II, item 3.1;Annex II, item 3.15;Annex II, item 3.13;Annex II, item 3.7;Annex II, item 3.6",0.634038;0.248762;0.148776;0.126448;0.119356,"(1)Serious structural damage (for example: cracks, permanent deformation, delamination, debonding, burning, excessive wear, or corrosion) found during maintenance of the aircraft or component.",,,,
QA_0083,What is the obligation regarding releasing an aircraft to service from maintenance?,An aircraft must not be released to service from maintenance if there is any non-compliance that endangers flight safety.,"Regulation (EU) 2015/1018, Annex II, Section 3(14)",EU_2015_1018_ANNEX_II,auto_mapped,high,0.497196,0.317359,EU_2015_1018_ANNEX_II__C0022;EU_2015_1018_ANNEX_II__C0021;EU_2015_1018_ANNEX_II__C0023;EU_2015_1018_ANNEX_II__C0014;EU_2015_1018_ANNEX_II__C0020,"Annex II, item 3.14;Annex II, item 3.13;Annex II, item 3.15;Annex II, item 3.6;Annex II, item 3.12",0.497196;0.179837;0.157156;0.135962;0.104202,(14)Releasing an aircraft to service from maintenance in case of any non-compliance which endangers the flight safety.,,,,
QA_0084,What are the categories of occurrences related to air navigation services and facilities?,"The categories of occurrences include aircraft-related occurrences, degradation or total loss of services or functions, and other occurrences. Each category encompasses specific incidents that must be reported regardless of their linkage to the activities listed.",ANNEX III,EU_2015_1018_ANNEX_III,auto_mapped,high,0.383737,0.097117,EU_2015_1018_ANNEX_III__C0001;EU_2015_1018_ANNEX_III__C0017;EU_2015_1018_ANNEX_III__C0002;EU_2015_1018_ANNEX_III__C0019;EU_2015_1018_ANNEX_III__C0031,"Annex III;Annex III, item 2;Annex III, item 1;Annex III, item 2.1.a;Annex III, item 3",0.383737;0.28662;0.267834;0.237089;0.22504,"Remark: This Annex is structured in such a way that the pertinent occurrences are linked with categories of activities during which they are normally observed, according to experience, in order to facilitate the reporting of those occurrenc",,,,
QA_0085,What must be reported according to the regulation regarding occurrences?,Occurrences must be reported even if they take place outside the category of activities to which they are linked in the list. This is emphasized to ensure comprehensive reporting of all relevant incidents.,ANNEX III,EU_2015_1018_ANNEX_III,auto_mapped,low,0.636309,0.477273,EU_2015_1018_ANNEX_III__C0001;EU_2015_1018_ANNEX_III__C0031;EU_2015_1018_ANNEX_III__C0002;EU_2015_1018_ANNEX_III__C0016;EU_2015_1018_ANNEX_III__C0010,"Annex III;Annex III, item 3;Annex III, item 1;Annex III, item 1.11;Annex III, item 1.8",0.636309;0.159036;0.153376;0.146391;0.130048,"Remark: This Annex is structured in such a way that the pertinent occurrences are linked with categories of activities during which they are normally observed, according to experience, in order to facilitate the reporting of those occurrenc",,,,
QA_0086,What types of occurrences are related to aircraft and obstacles at an aerodrome?,"Aircraft- and obstacle-related occurrences include collisions or near collisions, wildlife strikes, taxiway or runway excursions, and incursions. They also cover failures to follow clearance, presence of foreign objects, and emergencies declared by pilots.","ANNEX IV, Section 1.1",EU_2015_1018_ANNEX_IV,auto_mapped,high,0.188725,0.00426,EU_2015_1018_ANNEX_IV__C0035;EU_2015_1018_ANNEX_IV__C0009;EU_2015_1018_ANNEX_IV__C0003;EU_2015_1018_ANNEX_IV__C0004;EU_2015_1018_ANNEX_IV__C0036,"Annex IV, item 2.1;Annex IV, item 1.1.6;Annex IV, item 1.1;Annex IV, item 1.1.1;Annex IV, item 2.1.1",0.188725;0.184465;0.176618;0.140048;0.140048,2.1.Aircraft- and aerodrome-related occurrences,,,,
QA_0087,What is required in case of significant deficiencies in aerodrome lighting?,"Significant deficiencies in aerodrome lighting, marking, or signs must be reported as they could endanger the aircraft or its occupants. This is part of the obligations related to the safety management of an aerodrome.","ANNEX IV, Section 1.2(3)",EU_2015_1018_ANNEX_IV,auto_mapped,high,0.311464,0.0,EU_2015_1018_ANNEX_IV__C0021;EU_2015_1018_ANNEX_IV__C0048;EU_2015_1018_ANNEX_IV__C0020;EU_2015_1018_ANNEX_IV__C0047;EU_2015_1018_ANNEX_IV__C0027,"Annex IV, item 1.2.3;Annex IV, item 2.2.3;Annex IV, item 1.2.2;Annex IV, item 2.2.2;Annex IV, item 1.3.3",0.311464;0.311464;0.24637;0.24637;0.233989,"(3)Significant deficiencies in aerodrome lighting, marking or signs.",,,,
QA_0088,What is defined as 'Aircraft other than complex motor-powered aircraft'?,‘Aircraft other than complex motor-powered aircraft’ means any aircraft other than that defined in Article 3(j) of Regulation (EC) No 216/2008.,"ANNEX V, Regulation (EU) 2015/1018, (a)",EU_2015_1018_ANNEX_V,auto_mapped,medium,0.68846,0.348027,EU_2015_1018_ANNEX_V__C0002;EU_2015_1018_ANNEX_V__C0005;EU_2015_1018_ANNEX_V__C0034;EU_2015_1018_ANNEX_V__C0083;EU_2015_1018_ANNEX_V__C0062,"Annex V, item a;Annex V, item 1;Annex V, item 1.5.4;Annex V, item 3.5.2;Annex V, item 2.5.3",0.68846;0.340433;0.200992;0.190873;0.187872,(a)‘Aircraft other than complex motor-powered aircraft’ means any aircraft other than that defined in Article 3(j) of Regulation (EC) No 216/2008;,,,,
QA_0089,What occurrences must be reported according to the Annex?,"Occurrences must be reported regardless of whether they take place outside the category of activities to which they are linked in the list. This includes unintentional loss of control, landing outside of intended landing area, and any flight performed with an aircraft that was not airworthy.","ANNEX V, Regulation (EU) 2015/1018, 1",EU_2015_1018_ANNEX_V,auto_mapped,high,0.414142,0.0,EU_2015_1018_ANNEX_V__C0006;EU_2015_1018_ANNEX_V__C0039;EU_2015_1018_ANNEX_V__C0065;EU_2015_1018_ANNEX_V__C0009;EU_2015_1018_ANNEX_V__C0013,"Annex V, item 1;Annex V, item 2;Annex V, item 3;Annex V, item 1.1.2;Annex V, item 1.1.6",0.414142;0.414142;0.414142;0.199582;0.179584,"Remark: This Section is structured in such a way that the pertinent occurrences are linked with categories of activities during which they are normally observed, according to experience, in order to facilitate the reporting of those occurre",,,,
QA_0090,What is the definition of 'European risk classification scheme'?,'European risk classification scheme' or 'ERCS' means the methodology applied for the assessment of the risk posed by an occurrence to civil aviation in the form of a safety risk score.,Article 2(1),EU_2020_2034_ART_2,auto_mapped,low,0.861011,0.562999,EU_2020_2034_ART_2__C0002;EU_2020_2034_ART_2__C0004;EU_2020_2034_ART_2__C0003;EU_2020_2034_ART_2__C0001;EU_2020_2034_ART_2__C0005,Article 2(1);Article 2(3);Article 2(2);Article 2;Article 2(4),0.861011;0.298012;0.202481;0.09;0.082983,(1)‘European risk classification scheme’ or ‘ERCS’ means the methodology applied for the assessment of the risk posed by an occurrence to civil aviation in the form of a safety risk score;,,,,
QA_0091,What constitutes a 'high-risk area' according to the regulation?,"'High-risk area' means an area where an aircraft impact would cause numerous injuries, result in a high number of fatalities, or both because of the nature of the activities in that area, such as nuclear or chemical plants.",Article 2(4),EU_2020_2034_ART_2,auto_mapped,low,0.871645,0.710196,EU_2020_2034_ART_2__C0005;EU_2020_2034_ART_2__C0006;EU_2020_2034_ART_2__C0004;EU_2020_2034_ART_2__C0001;EU_2020_2034_ART_2__C0002,Article 2(4);Article 2(5);Article 2(3);Article 2;Article 2(1),0.871645;0.161449;0.129424;0.127658;0.109088,"(4)‘high-risk area’ means an area where an aircraft impact would cause numerous injuries, result in a high number of fatalities, or both because of the nature of the activities in that area, such as nuclear or chemical plants;",,,,
QA_0092,What is meant by 'life changing injury'?,'Life changing injury' means an injury reducing the person’s quality of life in regard to reduced mobility or reduced cognitive or physical ability in daily life.,Article 2(6),EU_2020_2034_ART_2,auto_mapped,low,0.888999,0.798999,EU_2020_2034_ART_2__C0007;EU_2020_2034_ART_2__C0001;EU_2020_2034_ART_2__C0006;EU_2020_2034_ART_2__C0003;EU_2020_2034_ART_2__C0004,Article 2(6);Article 2;Article 2(5);Article 2(2);Article 2(3),0.888999;0.09;0.036849;0.035988;0.035907,(6)‘life changing injury’ means an injury reducing the person’s quality of life in regard to reduced mobility or reduced cognitive or physical ability in daily life.,,,,
QA_0093,What does the ERCS address according to Article 3?,The ERCS shall address the safety risk of an occurrence and not its actual outcome. It assesses the worst likely accident outcome that the occurrence might have led to.,Article 3(2),EU_2020_2034_ART_3,auto_mapped,low,0.758657,0.545026,EU_2020_2034_ART_3__C0002;EU_2020_2034_ART_3__C0004;EU_2020_2034_ART_3__C0005;EU_2020_2034_ART_3__C0003;EU_2020_2034_ART_3__C0001,Article 3(2);Article 3(3)(a);Article 3(3)(b);Article 3(3);Article 3(1),0.758657;0.213631;0.212525;0.183296;0.064166,"2.The ERCS shall address the safety risk of an occurrence and not its actual outcome. The assessment of each occurrence shall determine the worst likely accident outcome that the occurrence might have led to, and how close to that accident ",,,,
QA_0094,What are the two variables that the ERCS matrix is based on?,"The ERCS matrix is composed of two variables: severity, which identifies the worst likely accident outcome, and probability, which identifies the likelihood of the occurrence escalating into that worst outcome.",Article 3(3),EU_2020_2034_ART_3,auto_mapped,high,0.475993,0.065071,EU_2020_2034_ART_3__C0003;EU_2020_2034_ART_3__C0005;EU_2020_2034_ART_3__C0004;EU_2020_2034_ART_3__C0002;EU_2020_2034_ART_3__C0001,Article 3(3);Article 3(3)(b);Article 3(3)(a);Article 3(2);Article 3(1),0.475993;0.410922;0.371734;0.264945;0.061562,3.The ERCS shall be based on the ERCS matrix composed of the following two variables:,,,,
QA_0095,What is the purpose of assessing each occurrence under the ERCS?,"The assessment of each occurrence shall determine the worst likely accident outcome that the occurrence might have led to, and how close to that accident outcome the occurrence was.",Article 3(2),EU_2020_2034_ART_3,auto_mapped,low,0.859568,0.530815,EU_2020_2034_ART_3__C0002;EU_2020_2034_ART_3__C0004;EU_2020_2034_ART_3__C0005;EU_2020_2034_ART_3__C0003;EU_2020_2034_ART_3__C0001,Article 3(2);Article 3(3)(a);Article 3(3)(b);Article 3(3);Article 3(1),0.859568;0.328753;0.291294;0.096399;0.051135,"2.The ERCS shall address the safety risk of an occurrence and not its actual outcome. The assessment of each occurrence shall determine the worst likely accident outcome that the occurrence might have led to, and how close to that accident ",,,,
QA_0096,When does Regulation (EU) 2020/2034 enter into force?,Regulation (EU) 2020/2034 shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.,Article 4,EU_2020_2034_ART_4,auto_mapped,low,0.699656,0.420861,EU_2020_2034_ART_4__C0001;EU_2020_2034_ART_4__C0003;EU_2020_2034_ART_4__C0004;EU_2020_2034_ART_4__C0002,Article 4;Article 4;Article 4;Article 4,0.699656;0.278795;0.209978;0.195656,This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.,,,,
QA_0097,From when does Regulation (EU) 2020/2034 apply?,This Regulation shall apply from 1 January 2021.,Article 4,EU_2020_2034_ART_4,auto_mapped,high,0.589311,0.280513,EU_2020_2034_ART_4__C0002;EU_2020_2034_ART_4__C0003;EU_2020_2034_ART_4__C0001;EU_2020_2034_ART_4__C0004,Article 4;Article 4;Article 4;Article 4,0.589311;0.308798;0.295858;0.23339,It shall apply from 1 January 2021.,,,,
QA_0098,What is the nature of Regulation (EU) 2020/2034 in relation to Member States?,This Regulation shall be binding in its entirety and directly applicable in all Member States.,Article 4,EU_2020_2034_ART_4,auto_mapped,low,0.710686,0.404542,EU_2020_2034_ART_4__C0003;EU_2020_2034_ART_4__C0001;EU_2020_2034_ART_4__C0002;EU_2020_2034_ART_4__C0004,Article 4;Article 4;Article 4;Article 4,0.710686;0.306144;0.210649;0.210649,This Regulation shall be binding in its entirety and directly applicable in all Member States.,,,,
QA_0099,What does 'ARMS-ERC methodology' refer to?,'ARMS-ERC methodology' means the methodology developed by the industry working group ‘Airline Risk Management Solutions’ (ARMS) for assessing operational risks.,Article 2,EU_2021_2082_ART_2,auto_mapped,medium,0.792501,0.480122,EU_2021_2082_ART_2__C0003;EU_2021_2082_ART_2__C0008;EU_2021_2082_ART_2__C0005;EU_2021_2082_ART_2__C0006;EU_2021_2082_ART_2__C0004,Article 2(1);Article 2(6);Article 2(3);Article 2(4);Article 2(2),0.792501;0.312379;0.188766;0.180518;0.165816,(1)‘ARMS-ERC methodology’ means the methodology developed by the industry working group ‘Airline Risk Management Solutions’ (ARMS) for assessing operational risks;,,,,
QA_0100,What is the meaning of 'ATM' in this regulation?,'ATM' means air traffic management as defined in Article 2(10) of Regulation (EC) No 549/2004 of the European Parliament and of the Council.,Article 2,EU_2021_2082_ART_2,auto_mapped,medium,0.834022,0.474472,EU_2021_2082_ART_2__C0004;EU_2021_2082_ART_2__C0001;EU_2021_2082_ART_2__C0005;EU_2021_2082_ART_2__C0006;EU_2021_2082_ART_2__C0007,Article 2(2);Article 2;Article 2(3);Article 2(4);Article 2(5),0.834022;0.35955;0.236438;0.234476;0.231849,(2)‘ATM’ means air traffic management as defined in Article 2(10) of Regulation (EC) No 549/2004 of the European Parliament and of the Council ();,,,,
QA_0101,What does the 'RAT methodology' entail?,'RAT methodology' means the Risk Analysis Tool methodology developed by Eurocontrol used to classify safety related occurrences in the ATM domain.,Article 2,EU_2021_2082_ART_2,auto_mapped,medium,0.805066,0.47741,EU_2021_2082_ART_2__C0008;EU_2021_2082_ART_2__C0003;EU_2021_2082_ART_2__C0005;EU_2021_2082_ART_2__C0006;EU_2021_2082_ART_2__C0007,Article 2(6);Article 2(1);Article 2(3);Article 2(4);Article 2(5),0.805066;0.327656;0.29777;0.289226;0.178568,(6)‘RAT methodology’ means the Risk Analysis Tool methodology developed by Eurocontrol used to classify safety related occurrences in the ATM domain;,,,,
QA_0102,What is the responsibility of the competent authority of the Member State or the Agency regarding safety risk classification?,"The competent authority of the Member State or the Agency shall review and, if necessary, amend, and endorse the safety risk classification contained in the occurrence report of the occurrence concerned in accordance with the ERCS. This is outlined in Article 3(1).",Article 3(1),EU_2021_2082_ART_3,auto_mapped,low,0.723647,0.307975,EU_2021_2082_ART_3__C0001;EU_2021_2082_ART_3__C0002,Article 3(1);Article 3(2),0.723647;0.415672,"1.The competent authority of the Member State or the Agency shall review and, if necessary, amend, and endorse the safety risk classification contained in the occurrence report of the occurrence concerned in accordance with the ERCS as set ",,,,
QA_0103,What procedure must be used for converting safety risk classifications determined through ARMS/ERC 4x4 or RAT ‘ATM Overall’ methodologies?,The competent authority of the Member State or the Agency shall use the direct conversion procedure set out in the Annex when converting the safety risk classification determined through ARMS/ERC 4x4 or RAT ‘ATM Overall’ methodologies. This is specified in Article 3(2).,Article 3(2),EU_2021_2082_ART_3,auto_mapped,low,0.759194,0.539524,EU_2021_2082_ART_3__C0002;EU_2021_2082_ART_3__C0001,Article 3(2);Article 3(1),0.759194;0.21967,"2.Without prejudice to paragraph 1, the competent authority of the Member State or the Agency shall use the direct conversion procedure set out in the Annex when converting the safety risk classification determined through ARMS/ERC 4x4 or R",,,,
QA_0104,What options are available for converting safety risk classifications determined through methodologies other than ARMS/ERC 4x4 or RAT ‘ATM Overall’?,"For safety risk classifications determined through other methodologies, the competent authority of the Member State or the Agency may use the manual conversion procedure set out in point 2 of the Annex, or other conversion procedures as deemed appropriate, as long as an equivalent ERCS classification is achieved. This is mentioned in Article 3(2).",Article 3(2),EU_2021_2082_ART_3,auto_mapped,low,0.860786,0.661305,EU_2021_2082_ART_3__C0002;EU_2021_2082_ART_3__C0001,Article 3(2);Article 3(1),0.860786;0.199481,"2.Without prejudice to paragraph 1, the competent authority of the Member State or the Agency shall use the direct conversion procedure set out in the Annex when converting the safety risk classification determined through ARMS/ERC 4x4 or R",,,,
QA_0105,What is the timeline for Member States to report on the use of the ERCS?,Each Member State shall provide the Commission and the Agency with a report on the use of the ERCS on 31 March 2026 and every 5 years thereafter.,Article 4(1),EU_2021_2082_ART_4,auto_mapped,low,0.826263,0.656622,EU_2021_2082_ART_4__C0001;EU_2021_2082_ART_4__C0002,Article 4(1);Article 4(2),0.826263;0.169641,"1.On 31 March 2026 and every 5 years thereafter, each Member State shall provide the Commission and the Agency with a report on the use of the ERCS.",,,,
QA_0106,What is the responsibility of the Agency regarding the reports from Member States?,"The Agency shall review the information received from Member States in accordance with paragraph 1 of this Article, as well as other information that the Agency may receive regarding the implementation of the ERCS.",Article 4(2),EU_2021_2082_ART_4,auto_mapped,low,0.773194,0.581573,EU_2021_2082_ART_4__C0002;EU_2021_2082_ART_4__C0001,Article 4(2);Article 4(1),0.773194;0.191621,"2.The Agency shall review the information received from Member States in accordance with paragraph 1 of this Article, as well as other information that the Agency may receive regarding the implementation of the ERCS. The review by the Agenc",,,,
QA_0107,What expertise may the Agency consider during its review of the ERCS implementation?,The review by the Agency may take account of the expertise of the network of aviation safety analysts (NoA) referred to in Article 14(2) of Regulation (EU) No 376/2014 and relevant expert groups if established by the Agency.,Article 4(2),EU_2021_2082_ART_4,auto_mapped,low,0.864856,0.796543,EU_2021_2082_ART_4__C0002;EU_2021_2082_ART_4__C0001,Article 4(2);Article 4(1),0.864856;0.068313,"2.The Agency shall review the information received from Member States in accordance with paragraph 1 of this Article, as well as other information that the Agency may receive regarding the implementation of the ERCS. The review by the Agenc",,,,
QA_0108,What procedures are subject to regular review by the Agency?,The conversion procedures set out in the Annex shall be subject to regular review by the Agency to ensure its continuing relevance.,Article 5(1),EU_2021_2082_ART_5,auto_mapped,low,0.821496,0.527419,EU_2021_2082_ART_5__C0001;EU_2021_2082_ART_5__C0002,Article 5(1);Article 5(2),0.821496;0.294077,1.The conversion procedures set out in the Annex shall be subject to regular review by the Agency to ensure its continuing relevance. The review may take account of the expertise of the NoA and relevant expert groups if established by the A,,,,
QA_0109,Who may provide expertise during the review of conversion procedures?,The review may take account of the expertise of the NoA and relevant expert groups if established by the Agency.,Article 5(1),EU_2021_2082_ART_5,auto_mapped,low,0.779382,0.653204,EU_2021_2082_ART_5__C0001;EU_2021_2082_ART_5__C0002,Article 5(1);Article 5(2),0.779382;0.126178,1.The conversion procedures set out in the Annex shall be subject to regular review by the Agency to ensure its continuing relevance. The review may take account of the expertise of the NoA and relevant expert groups if established by the A,,,,
QA_0110,What must Member States notify when applicable?,Member States shall notify to the Commission and the Agency the use of the manual conversion procedure set out in point 2 of the Annex and other conversion procedures referred to in Article 3(2) of this Regulation.,Article 5(2),EU_2021_2082_ART_5,auto_mapped,low,0.903225,0.687371,EU_2021_2082_ART_5__C0002;EU_2021_2082_ART_5__C0001,Article 5(2);Article 5(1),0.903225;0.215854,"2.When applicable, Member States shall notify to the Commission and the Agency the use of the manual conversion procedure set out in point 2 of the Annex and other conversion procedures referred to in Article 3(2) of this Regulation.",,,,
QA_0111,What is the objective of Regulation (EU) No 376/2014?,The objective of Regulation 376/2014 is to ensure that the necessary safety intelligence is available to support the safety management efforts of the whole European Aviation Community. The information provided through the collection and analysis of occurrence reports under this Regulation should allow the industry and the regulators to be informed about the risks they are facing.,Recital 5,GM_EU_376_2014_SEC_1_1,auto_mapped,medium,0.729066,0.407412,GM_EU_376_2014_SEC_1_1__C0006;GM_EU_376_2014_SEC_1_1__C0007;GM_EU_376_2014_SEC_1_1__C0009;GM_EU_376_2014_SEC_1_1__C0005;GM_EU_376_2014_SEC_1_1__C0001,GM 1.1;GM 1.1;GM 1.1;GM 1.1;GM 1.1,0.729066;0.321654;0.315542;0.268526;0.235202,The objective of Regulation 376/2014 is to ensure that the necessary safety intelligence is available to support the safety management efforts of the whole European Aviation Community. The information provided through the collection and ana,,,,
QA_0112,What actions are the EU and its Member States taking towards aviation safety?,"The EU and its Member States have started the transition towards a more proactive, evidence-based, risk and performance oriented safety system. This requires a systematic and continuous collection of safety information to identify, assess, and address safety hazards.",Recital 5,GM_EU_376_2014_SEC_1_1,auto_mapped,medium,0.587815,0.331957,GM_EU_376_2014_SEC_1_1__C0003;GM_EU_376_2014_SEC_1_1__C0008;GM_EU_376_2014_SEC_1_1__C0004;GM_EU_376_2014_SEC_1_1__C0009;GM_EU_376_2014_SEC_1_1__C0001,GM 1.1;GM 1.1;GM 1.1;GM 1.1;GM 1.1,0.587815;0.255858;0.231684;0.196145;0.180046,"However, the current aviation safety system is mainly a reactive and prescriptive safety system, in which safety improvements are essentially resulting from technological progresses, compliance with prescriptive regulations and lessons lear",,,,
QA_0113,What is required by Article 7(8) of Regulation 376/2014?,Article 7(8) of Regulation 376/2014 requires the Commission and EASA to develop guidance material to support the implementation of certain provisions of the Regulation.,Article 7(8),GM_EU_376_2014_SEC_1_2,auto_mapped,medium,0.614909,0.341835,GM_EU_376_2014_SEC_1_2__C0003;GM_EU_376_2014_SEC_1_2__C0005;GM_EU_376_2014_SEC_1_2__C0004;GM_EU_376_2014_SEC_1_2__C0006;GM_EU_376_2014_SEC_1_2__C0002,GM 1.2;GM 1.2;GM 1.2;GM 1.2;GM 1.2,0.614909;0.273074;0.251044;0.174375;0.105654,Regulation 376/2014 repeals and replaces the existing occurrence legal framework (Directive 2003/42/EC and its implementing regulations) and introduces a number of new legal requirements. Impacted stakeholders expressed the need to benefit ,,,,
QA_0114,What does Regulation 376/2014 repeal and replace?,"Regulation 376/2014 repeals and replaces the existing occurrence legal framework, specifically Directive 2003/42/EC and its implementing regulations.",Paragraph 3,GM_EU_376_2014_SEC_1_2,auto_mapped,medium,0.604846,0.24961,GM_EU_376_2014_SEC_1_2__C0003;GM_EU_376_2014_SEC_1_2__C0004;GM_EU_376_2014_SEC_1_2__C0005;GM_EU_376_2014_SEC_1_2__C0006;GM_EU_376_2014_SEC_1_2__C0002,GM 1.2;GM 1.2;GM 1.2;GM 1.2;GM 1.2,0.604846;0.355236;0.324346;0.073386;0.070103,Regulation 376/2014 repeals and replaces the existing occurrence legal framework (Directive 2003/42/EC and its implementing regulations) and introduces a number of new legal requirements. Impacted stakeholders expressed the need to benefit ,,,,
QA_0115,When was Regulation (EU) No 376/2014 adopted and when did it become applicable?,Regulation (EU) No 376/2014 was adopted on 3rd April 2014 and became applicable on 15 November 2015.,GM to Reg. (EU) No 376/2014 [04],GM_EU_376_2014_SEC_1_3,auto_mapped,high,0.465024,0.067992,GM_EU_376_2014_SEC_1_3__C0001;GM_EU_376_2014_SEC_1_3__C0002;GM_EU_376_2014_SEC_1_3__C0003;GM_EU_376_2014_SEC_1_3__C0004,GM 1.3;GM 1.3;GM 1.3;GM 1.3,0.465024;0.397032;0.124297;0.0,The Regulation was adopted on 3rd April 2014. It became applicable on 15 November 2015.,,,,
QA_0116,What support has the Commission provided for the application of Regulation 376/2014?,"The Commission has prepared a roadmap to support the industry, Member States, and all relevant stakeholders in preparing for the application of Regulation 376/2014, with support from EASA.",GM to Reg. (EU) No 376/2014 [04],GM_EU_376_2014_SEC_1_3,auto_mapped,medium,0.616075,0.45206,GM_EU_376_2014_SEC_1_3__C0003;GM_EU_376_2014_SEC_1_3__C0002;GM_EU_376_2014_SEC_1_3__C0001;GM_EU_376_2014_SEC_1_3__C0004,GM 1.3;GM 1.3;GM 1.3;GM 1.3,0.616075;0.164015;0.101029;0.033725,"A roadmap to support the industry, the Member States and all relevant stakeholders in preparing for Regulation 376/2014 application has been prepared by the Commission, with the support to EASA. This guidance material is part of the various",,,,
QA_0117,What is the applicability of Regulation 376/2014 in Member States?,"Regulation 376/2014 is binding in its entirety and directly applicable in all Member States. It cannot be applied incompletely, selectively, or partially.",Article 288 of the Treaty on the Functioning of the European Union (TFEU),GM_EU_376_2014_SEC_1_4,auto_mapped,high,0.48978,0.128637,GM_EU_376_2014_SEC_1_4__C0001;GM_EU_376_2014_SEC_1_4__C0002;GM_EU_376_2014_SEC_1_4__C0003;GM_EU_376_2014_SEC_1_4__C0004;GM_EU_376_2014_SEC_1_4__C0005,GM 1.4;GM 1.4;GM 1.4;GM 1.4;GM 1.4,0.48978;0.361143;0.311734;0.188884;0.066892,"Regulation 376/2014 is a Regulation and therefore, in accordance with Article 288 of the Treaty on the Functioning of the European Union (TFEU), it is binding in its entirety and directly applicable in all Member States.",,,,
QA_0118,Which countries are expected to apply Regulation 376/2014?,"Regulation 376/2014 is applicable in the legal orders of the 28 EU Member States and is expected to be applicable in Norway, Iceland, Liechtenstein, and Switzerland once incorporated within respective agreements.",GM to Reg. (EU) No 376/2014 and its IRs [05],GM_EU_376_2014_SEC_1_4,auto_mapped,medium,0.581514,0.324243,GM_EU_376_2014_SEC_1_4__C0004;GM_EU_376_2014_SEC_1_4__C0001;GM_EU_376_2014_SEC_1_4__C0003;GM_EU_376_2014_SEC_1_4__C0005;GM_EU_376_2014_SEC_1_4__C0002,GM 1.4;GM 1.4;GM 1.4;GM 1.4;GM 1.4,0.581514;0.257271;0.229335;0.058575;0.0,"This Regulation is applicable in the legal orders of the 28 EU Member States. It is also expected to be applicable in Norway, Iceland and Liechtenstein (via the Agreement on the European Economic Area) and in Switzerland (via the Agreement ",,,,
